Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS",,12.8,ddPCR Supermix for Probes (no dUTP),,13.3,12.2,13.3,12.2,1849,169549,28,1821,1838,167711,0.0552,171398,,,,,,,,0.99,1.05,0.92,1.05,0.93,49.8,51.4,48.2,51.4,48.2,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01)",13.06,12.46,13.06,12.46,,,,,1.023,0.949,1.023,0.958,50.6,48.9,50.6,48.9,
"M02",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS",,19.3,ddPCR Supermix for Probes (no dUTP),,20,18.6,20,18.6,2708,163677,51,2657,2877,160800,0.0245,166385,,,,,,,,0.924,0.973,0.873,0.973,0.876,48,49.3,46.7,49.3,46.7,1,1,,,,,"","(A02,B02,C02,D02,E02,F02,G02,H02)",19.68,18.93,19.68,18.93,,,,,0.949,0.897,0.949,0.9,48.7,47.4,48.7,47.4,
"M03",Absolute Quantification,"ABS","17367",Ch1Unknown,"HbS",,13.2,ddPCR Supermix for Probes (no dUTP),,13.9,12.6,13.8,12.6,1911,169003,23,1888,2025,166978,0.000713,170914,,,,,,,,0.93,0.99,0.87,0.99,0.87,48.3,49.8,46.7,49.8,46.7,1,1,,,,,"","(A03,B03,C03,D03,E03,F03,G03,H03)",13.57,12.9,13.53,12.93,,,,,0.962,0.898,0.962,0.903,49.1,47.5,49.1,47.5,
"M04",Absolute Quantification,"ABS","11339",Ch1Unknown,"HbS",,9.6,ddPCR Supermix for Probes (no dUTP),,10.2,8.9,10.2,8.9,867,106010,7,860,863,105147,0,106877,,,,,,,,1,1.09,0.9,1.09,0.9,49.9,52.3,47.6,52.3,47.6,1,1,,,,,"","(A04,B04,C04,D04,E04)",9.91,9.26,9.91,9.26,,,,,1.044,0.946,1.044,0.949,51.1,48.7,51.1,48.7,
"M05",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0.03,ddPCR Supermix for Probes (no dUTP),,0.13,-0.03,0.13,0,1,44874,1,0,0,44874,0.0262,44875,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(F04,G04)",0.065,0,0.065,0.007,,,,,,,2.6,0,,,89,11,
"M01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA",,12.9,ddPCR Supermix for Probes (no dUTP),,13.5,12.3,13.5,12.3,1866,169532,28,1821,1838,167711,0.0552,171398,,,,,,,,0.99,1.05,0.92,1.05,0.93,49.8,51.4,48.2,51.4,48.2,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01)",13.18,12.58,13.18,12.58,,,,,1.023,0.949,1.023,0.958,50.6,48.9,50.6,48.9,
"M02",Absolute Quantification,"ABS","18836",Ch2Unknown,"HbA",,20.9,ddPCR Supermix for Probes (no dUTP),,21.7,20.1,21.6,20.1,2928,163457,51,2657,2877,160800,0.0245,166385,,,,,,,,0.924,0.973,0.873,0.973,0.876,48,49.3,46.7,49.3,46.7,1,1,,,,,"","(A02,B02,C02,D02,E02,F02,G02,H02)",21.29,20.5,21.27,20.5,,,,,0.949,0.897,0.949,0.9,48.7,47.4,48.7,47.4,
"M03",Absolute Quantification,"ABS","17367",Ch2Unknown,"HbA",,14.2,ddPCR Supermix for Probes (no dUTP),,14.8,13.6,14.8,13.6,2048,168866,23,1888,2025,166978,0.000713,170914,,,,,,,,0.93,0.99,0.87,0.99,0.87,48.3,49.8,46.7,49.8,46.7,1,1,,,,,"","(A03,B03,C03,D03,E03,F03,G03,H03)",14.5,13.87,14.5,13.87,,,,,0.962,0.898,0.962,0.903,49.1,47.5,49.1,47.5,
"M04",Absolute Quantification,"ABS","11339",Ch2Unknown,"HbA",,9.6,ddPCR Supermix for Probes (no dUTP),,10.3,9,10.3,9,870,106007,7,860,863,105147,0,106877,,,,,,,,1,1.09,0.9,1.09,0.9,49.9,52.3,47.6,52.3,47.6,1,1,,,,,"","(A04,B04,C04,D04,E04)",9.94,9.29,9.94,9.29,,,,,1.044,0.946,1.044,0.949,51.1,48.7,51.1,48.7,
"M05",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA",,0.03,ddPCR Supermix for Probes (no dUTP),,0.13,-0.03,0.13,0,1,44874,1,0,0,44874,0.0262,44875,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(F04,G04)",0.065,0,0.065,0.007,,,,,,,2.6,0,,,89,11,
"A01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",13.7,ddPCR Supermix for Probes (no dUTP),274,,,15.5,12,239,20384,5,234,212,20172,0.145,20623,,,,,,,,1.1,,,1.3,0.9,52.4,,,57,47.8,1,1,2100,5806.5,1155.5,1209.4,"",,,,14.6,12.8,,,,,,,1.21,1,,,54.8,50.1,
"B01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",13.7,ddPCR Supermix for Probes (no dUTP),274,,,15.4,12,256,21832,1,255,229,21603,0,22088,,,,,,,,1.11,,,1.31,0.92,52.7,,,57.1,48.3,1,1,2100,6079.4,1085.5,1143.4,"",,,,14.6,12.9,,,,,,,1.21,1.01,,,55,50.4,
