Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","12585",Ch1Unknown,"ZFY",,7.9,ddPCR Supermix for Probes (no dUTP),,8.9,6.8,8.9,6.8,200,29859,6,194,1091,28768,0,30059,,,,,,,,0.18,0.207,0.152,0.207,0.153,15.2,17.2,13.3,17.2,13.3,1,1,,,,,"","(B01,C01)",8.4,7.3,8.4,7.3,,,,,0.193,0.166,0.193,0.166,16.2,14.2,16.2,14.2,
"M02",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY",,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,75618,0,0,0,75618,0,75618,,,,,,,,,,,,,,,,,,1,1,,,,,"","(D01,H01,D03,G03,H03)",,,,,,,,,,,,,,,,,
"M03",Absolute Quantification,"ABS","16881",Ch1Unknown,"ZFY",,0.17,ddPCR Supermix for Probes (no dUTP),,0.33,0.05,0.33,0.07,7,47980,0,7,258,47722,0,47987,,,,,,,,0.027,0.048,0.004,0.048,0.006,2.6,4.6,0.4,4.6,0.7,1,1,,,,,"","(E01,F01,G01)",0.25,0.11,0.25,0.11,,,,,0.038,0.012,0.038,0.017,3.6,1.2,3.6,1.6,
"M04",Absolute Quantification,"ABS","16319",Ch1Unknown,"ZFY",,1.86,ddPCR Supermix for Probes (no dUTP),,2.31,1.48,2.31,1.48,77,48559,1,76,500,48059,0.00506,48636,,,,,,,,0.153,0.19,0.114,0.19,0.116,13.3,16,10.4,16,10.5,1,1,,,,,"","(A03,B03,C03)",2.08,1.66,2.08,1.66,,,,,0.172,0.132,0.172,0.134,14.7,11.7,14.7,11.9,
"M01",Absolute Quantification,"ABS","12585",Ch2Unknown,"ZFX",,43.7,ddPCR Supermix for Probes (no dUTP),,46.3,41.2,46.3,41.2,1097,28962,6,194,1091,28768,0,30059,,,,,,,,0.18,0.207,0.152,0.207,0.153,15.2,17.2,13.3,17.2,13.3,1,1,,,,,"","(B01,C01)",45.1,42.4,45.1,42.4,,,,,0.193,0.166,0.193,0.166,16.2,14.2,16.2,14.2,
"M02",Absolute Quantification,"ABS","NTC",Ch2Unknown,"ZFX",,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,75618,0,0,0,75618,0,75618,,,,,,,,,,,,,,,,,,1,1,,,,,"","(D01,H01,D03,G03,H03)",,,,,,,,,,,,,,,,,
"M03",Absolute Quantification,"ABS","16881",Ch2Unknown,"ZFX",,6.3,ddPCR Supermix for Probes (no dUTP),,7.1,5.6,7.1,5.6,258,47729,0,7,258,47722,0,47987,,,,,,,,0.027,0.048,0.004,0.048,0.006,2.6,4.6,0.4,4.6,0.7,1,1,,,,,"","(E01,F01,G01)",6.74,5.95,6.74,5.95,,,,,0.038,0.012,0.038,0.017,3.6,1.2,3.6,1.6,
"M04",Absolute Quantification,"ABS","16319",Ch2Unknown,"ZFX",,12.2,ddPCR Supermix for Probes (no dUTP),,13.2,11.1,13.2,11.1,501,48135,1,76,500,48059,0.00506,48636,,,,,,,,0.153,0.19,0.114,0.19,0.116,13.3,16,10.4,16,10.5,1,1,,,,,"","(A03,B03,C03)",12.7,11.6,12.7,11.6,,,,,0.172,0.132,0.172,0.134,14.7,11.7,14.7,11.9,
"B01",Absolute Quantification,"ABS","12585",Ch1Unknown,"ZFY","Manual",7.7,ddPCR Supermix for Probes (no dUTP),154,,,9.2,6.2,101,15453,2,99,553,14900,0,15554,,,,,,,,0.179,,,0.217,0.141,15.2,,,17.9,12.5,1,1,2723,8166.2,997.24,1043.8,"",,,,8.4,6.9,,,,,,,0.199,0.16,,,16.6,13.8,
"C01",Absolute Quantification,"ABS","12585",Ch1Unknown,"ZFY","Manual",8.1,ddPCR Supermix for Probes (no dUTP),162,,,9.8,6.6,99,14406,4,95,538,13868,0.0255,14505,,,,,,,,0.18,,,0.219,0.141,15.2,,,18,12.5,1,1,2409,8018,1000.6,1048.5,"",,,,8.9,7.3,,,,,,,0.199,0.16,,,16.7,13.8,
"D01",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,11334,0,0,0,11334,0,11334,,,,,,,,,,,,,,,,,,1,1,0,0,1021.6,1021.6,"",,,,,,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","16881",Ch1Unknown,"ZFY","Manual",0.15,ddPCR Supermix for Probes (no dUTP),3,,,0.47,0.02,2,16161,0,2,94,16067,0,16163,,,,,,,,0.021,,,0.054,0,2.1,,,5.2,0,1,1,2455,8277.3,1005.5,1006.4,"",,,,0.28,0.06,,,,,,,0.037,0.005,,,3.6,0.5,
"F01",Absolute Quantification,"ABS","16881",Ch1Unknown,"ZFY","Manual",0.29,ddPCR Supermix for Probes (no dUTP),5.8,,,0.68,0.09,4,16373,0,4,87,16286,0,16377,,,,,,,,0.046,,,0.094,0,4.4,,,8.8,0,1,1,2455,7749.6,1004.3,1006,"",,,,0.46,0.17,,,,,,,0.07,0.022,,,6.6,2.2,
"G01",Absolute Quantification,"ABS","16881",Ch1Unknown,"ZFY","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.36,0,1,15446,0,1,77,15369,0,15447,,,,,,,,0.013,,,0.044,0,1.3,,,4.3,0,1,1,2455,8263.8,994.03,994.5,"",,,,0.19,0.02,,,,,,,0.027,0,,,2.7,0,
"H01",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,18766,0,0,0,18766,0,18766,,,,,,,,,,,,,,,,,,1,1,0,0,1018.4,1018.4,"",,,,,,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","16319",Ch1Unknown,"ZFY","Manual",1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.3,1,23,17500,0,23,178,17322,0,17523,,,,,,,,0.13,,,0.18,0.07,11.4,,,15.8,7,1,1,2443,7661.7,981.42,990.19,"",,,,1.89,1.25,,,,,,,0.157,0.1,,,13.6,9.2,
"B03",Absolute Quantification,"ABS","16319",Ch1Unknown,"ZFY","Manual",2,ddPCR Supermix for Probes (no dUTP),40,,,2.9,1.3,25,14724,0,25,143,14581,0,14749,,,,,,,,0.17,,,0.25,0.1,15,,,20,9,1,1,2443,7815,998.42,1010,"",,,,2.42,1.62,,,,,,,0.212,0.136,,,17.6,12.1,
"C03",Absolute Quantification,"ABS","16319",Ch1Unknown,"ZFY","Manual",2.1,ddPCR Supermix for Probes (no dUTP),42,,,2.9,1.4,29,16335,1,28,179,16156,0.0496,16364,,,,,,,,0.16,,,0.22,0.1,13.8,,,18.5,9.1,1,1,2443,8009.2,994.46,1006.9,"",,,,2.5,1.72,,,,,,,0.192,0.128,,,16.2,11.4,
"D03",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14903,0,0,0,14903,0,14903,,,,,,,,,,,,,,,,,,1,1,0,0,1018.3,1018.3,"",,,,,,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","18G07200",Ch1Unknown,"ZFY","Manual",1568,ddPCR Supermix for Probes (no dUTP),31360,,,1600,1537,11263,4034,8305,2958,2976,1058,0,15297,,,,,,,,0.997,,,1.025,0.969,49.9,,,50.6,49.2,1,1,1877,6933.9,1027.3,5376.3,"",,,,1584,1552,,,,,,,1.011,0.982,,,50.27,49.56,
