Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","30113",Ch1Unknown,"rs6781236_G",,1.06,ddPCR Supermix for Probes (no dUTP),,1.2,0.93,1.2,0.93,242,268116,6,236,6914,261202,0,268358,,,,,,,,0.0345,0.039,0.0293,0.039,0.0301,3.34,3.75,2.86,3.75,2.92,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02)",1.13,0.99,1.13,0.99,,,,,0.0368,0.0315,0.0368,0.0323,3.55,3.06,3.55,3.13,
"M02",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs6781236_G",,0.013,ddPCR Supermix for Probes (no dUTP),,0.062,-0.013,0.062,0.001,1,90344,1,0,0,90344,0.013,90345,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(A03,B03,C03,D03)",0.032,0,0.032,0.004,,,,,,,2.6,0,,,89,11,
"M03",Absolute Quantification,"ABS","20611",Ch1Unknown,"rs2576241_C",,0.82,ddPCR Supermix for Probes (no dUTP),,0.98,0.65,0.93,0.7,187,269696,5,182,6998,262698,0.000661,269883,,,,,,,,0.0264,0.03,0.02,0.0302,0.0225,2.57,2.93,1.95,2.93,2.21,1,1,,,,,"","(A04,B04,C04,D04,E03,E04,F03,F04,G03,G04,H03,H04)",0.9,0.73,0.88,0.76,,,,,0.0283,0.0222,0.0283,0.0244,2.75,2.18,2.75,2.38,
"M04",Absolute Quantification,"ABS","21RG-126G0140",Ch1Unknown,"rs2576241_C",,0,ddPCR Supermix for Probes (no dUTP),,0.082,0,0.082,0,0,43034,0,0,7621,35413,0,43034,,,,,,,,0,,,0,0,0,,,0.018,0,1,1,,,,,"","(A05,B05)",0.037,0,0.037,0,,,,,,,0,0,,,0.0082,0,
"M05",Absolute Quantification,"ABS","21RG-062G0108",Ch1Unknown,"rs2576241_C",,149,ddPCR Supermix for Probes (no dUTP),,153,145,153,145,5284,39136,618,4666,4672,34464,0,44420,,,,,,,,0.999,1.037,0.96,1.037,0.961,50,50.9,49,50.9,49,1,1,,,,,"","(C05,D05)",151,146.9,151,146.9,,,,,1.018,0.979,1.018,0.979,50.46,49.48,50.46,49.48,
"M06",Absolute Quantification,"ABS","21RG-126G0134",Ch1Unknown,"rs6781236_G",,0.03,ddPCR Supermix for Probes (no dUTP),,0.13,-0.03,0.13,0,1,43086,1,0,8994,34092,0.0273,43087,,,,,,,,0.0001,,,0.00033,0,0.01,,,0.033,0,1,1,,,,,"","(E02,F02)",0.068,0,0.068,0.007,,,,,,,0.00021,0,,,0.021,0,
"M07",Absolute Quantification,"ABS","NTC",Ch1Unknown,"rs2576241_C",,0,ddPCR Supermix for Probes (no dUTP),,0.039,0,0.039,0,0,89317,0,0,0,89317,0,89317,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(E05,F05,G05,H05)",0.018,0,0.018,0,,,,,,,0,0,,,0,0,
"M08",Absolute Quantification,"ABS","21RG-103G0062",Ch1Unknown,"rs6781236_G",,115.3,ddPCR Supermix for Probes (no dUTP),,119.2,111.4,118.8,111.9,4379,42515,422,3957,3962,38553,0.385,46894,,,,,,,,0.999,1.06,0.94,1.041,0.957,50,51.5,48.5,51,48.9,1,1,,,,,"","(G02,H02)",117.3,113.3,117.1,113.6,,,,,1.029,0.969,1.02,0.977,50.7,49.2,50.5,49.4,
"M01",Absolute Quantification,"ABS","30113",Ch2Unknown,"rs6781236_A",,30.7,ddPCR Supermix for Probes (no dUTP),,31.5,30,31.5,30,6920,261438,6,236,6914,261202,0,268358,,,,,,,,0.0345,0.039,0.0293,0.039,0.0301,3.34,3.75,2.86,3.75,2.92,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02)",31.1,30.37,31.1,30.37,,,,,0.0368,0.0315,0.0368,0.0323,3.55,3.06,3.55,3.13,
"M02",Absolute Quantification,"ABS","NTC",Ch2Unknown,"rs6781236_A",,0.013,ddPCR Supermix for Probes (no dUTP),,0.062,-0.013,0.062,0.001,1,90344,1,0,0,90344,0.013,90345,,,,,,,,1,,,4.3,0,50,,,130,0,1,1,,,,,"","(A03,B03,C03,D03)",0.032,0,0.032,0.004,,,,,,,2.6,0,,,89,11,
