Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","19868",Ch1Unknown,"HbS",,37,ddPCR Supermix for Probes (no dUTP),,38,36,38,36,5481,171606,187,5294,5735,165871,0.0263,177087,,,,,,,,0.924,0.959,0.883,0.958,0.89,48,49.1,47,49,47.1,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02)",37.49,36.49,37.49,36.49,,,,,0.942,0.902,0.942,0.907,48.6,47.5,48.5,47.57,
"M02",Absolute Quantification,"ABS","21RG-083G0132",Ch1Unknown,"HbS",,178.2,ddPCR Supermix for Probes (no dUTP),,184,173,181.5,174.9,11314,69170,1536,9778,9749,59421,0,80484,,,,,,,,1.003,1.036,0.968,1.029,0.977,50.1,50.9,49.2,50.7,49.4,1,1,,,,,"","(A03,B03,G02,H02)",180.9,175.4,179.9,176.5,,,,,1.019,0.984,1.016,0.989,50.49,49.63,50.4,49.74,
"M03",Absolute Quantification,"ABS","21RG-062G0108",Ch1Unknown,"HbS",,143.1,ddPCR Supermix for Probes (no dUTP),,146.3,140.1,146,140.1,9079,70209,1010,8069,8140,62069,0,79288,,,,,,,,0.992,1.021,0.963,1.021,0.963,49.8,50.5,49.1,50.5,49.1,1,1,,,,,"","(A04,B04,C04,H03)",144.8,141.6,144.6,141.6,,,,,1.006,0.977,1.006,0.977,50.16,49.42,50.16,49.42,
"M04",Absolute Quantification,"ABS","30142",Ch1Unknown,"HbS",,29.9,ddPCR Supermix for Probes (no dUTP),,31.2,28.2,31.1,28.7,2401,93355,53,2348,2375,90980,0,95756,,,,,,,,0.99,1.07,0.89,1.04,0.93,49.7,52,47.3,51.1,48.3,1,1,,,,,"","(A05,B05,C05,D05,H04)",30.5,28.9,30.5,29.3,,,,,1.03,0.937,1.017,0.96,50.8,48.4,50.4,49,
"M05",Absolute Quantification,"ABS","21RG-083G0120",Ch1Unknown,"HbS",,88.4,ddPCR Supermix for Probes (no dUTP),,90.7,86.1,90.7,86.1,5754,73732,405,5349,5336,68396,0,79486,,,,,,,,1.002,1.039,0.965,1.039,0.966,50.1,51,49.1,51,49.1,1,1,,,,,"","(A06,B06,C06,D06)",89.6,87.2,89.6,87.2,,,,,1.021,0.983,1.021,0.984,50.53,49.59,50.53,49.59,
"M06",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,99177,0,0,2,99175,0,99177,,,,,,,,,,,,,,,,,,1,1,,,,,"","(B02,E06,F06,G06,H06)",,,,,,,,,,,,,,,,,
"M07",Absolute Quantification,"ABS","21RG-083G0126",Ch1Unknown,"HbS",,160.9,ddPCR Supermix for Probes (no dUTP),,164.1,157.2,164.1,157.7,9910,67619,1337,8573,8755,58864,0.94,77529,,,,,,,,0.981,1.008,0.953,1.008,0.953,49.5,50.2,48.8,50.2,48.8,1,1,,,,,"","(C02,D02,E02,F02)",162.5,158.8,162.5,159.3,,,,,0.995,0.967,0.995,0.967,49.87,49.16,49.87,49.16,
"M08",Absolute Quantification,"ABS","14182",Ch1Unknown,"HbS",,24.8,ddPCR Supermix for Probes (no dUTP),,26,23.7,25.9,23.7,2064,96954,38,2026,2022,94932,0,99018,,,,,,,,1,1.06,0.94,1.06,0.94,50,51.6,48.5,51.6,48.5,1,1,,,,,"","(C03,D03,E03,F03,G03)",25.5,24.2,25.3,24.2,,,,,1.033,0.968,1.033,0.971,50.8,49.3,50.8,49.3,
"M09",Absolute Quantification,"ABS","21RG-062G0111",Ch1Unknown,"HbS",,124.1,ddPCR Supermix for Probes (no dUTP),,126.7,121.5,126.7,121.5,8752,78694,848,7904,7883,70811,0,87446,,,,,,,,1.003,1.032,0.972,1.032,0.973,50.1,50.8,49.3,50.8,49.3,1,1,,,,,"","(D04,E04,F04,G04)",125.4,122.7,125.4,122.7,,,,,1.018,0.986,1.018,0.987,50.44,49.69,50.44,49.69,
"M10",Absolute Quantification,"ABS","21RG-083G0112",Ch1Unknown,"HbS",,103.5,ddPCR Supermix for Probes (no dUTP),,106,101,106,101,6625,72040,558,6067,6200,65840,0,78665,,,,,,,,0.979,1.013,0.946,1.013,0.946,49.5,50.3,48.6,50.3,48.6,1,1,,,,,"","(E05,F05,G05,H05)",104.8,102.2,104.8,102.2,,,,,0.996,0.962,0.996,0.962,49.91,49.05,49.91,49.05,
