Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","30139",Ch1Unknown,"HbS",,9.15,ddPCR Supermix for Probes (no dUTP),,9.58,8.72,9.51,8.78,2476,317289,17,2459,2566,314723,0,319765,,,,,,,,0.96,1.01,0.88,1.01,0.91,48.9,50.5,47.3,50.3,47.6,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02,H02)",9.37,8.93,9.33,8.96,,,,,0.985,0.913,0.985,0.931,49.8,48.1,49.6,48.2,
"M02",Absolute Quantification,"ABS","14992",Ch1Unknown,"HbS",,12.44,ddPCR Supermix for Probes (no dUTP),,13,11.9,12.87,12,3155,296840,34,3121,2743,294097,0.0192,299995,,,,,,,,1.14,1.19,1.06,1.19,1.08,53.2,54.5,51.9,54.5,51.9,1,1,,,,,"","(A03,A04,B03,B04,C03,C04,D03,E03,E04,F03,F04,G03,G04,H03,H04)",12.73,12.17,12.66,12.22,,,,,1.166,1.09,1.166,1.107,53.9,52.5,53.8,52.6,
"M03",Absolute Quantification,"ABS","14992",Ch1Unknown,"ZFY",,1.12,ddPCR Supermix for Probes (no dUTP),,1.39,0.85,1.39,0.89,77,80958,2,75,1829,79129,0.00387,81035,,,,,,,,0.042,0.051,0.031,0.051,0.032,4,4.9,3,4.9,3.1,1,1,,,,,"","(A06,B06,C06,D06)",1.26,0.98,1.25,1,,,,,0.046,0.036,0.0464,0.0368,4.44,3.46,4.44,3.55,
"M04",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0,ddPCR Supermix for Probes (no dUTP),,0.09,0,0.09,0,0,39279,0,0,0,39279,0,39279,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(C05,D05)",0.041,0,0.041,0,,,,,,,0,0,,,0,0,
"M05",Absolute Quantification,"ABS","30139",Ch1Unknown,"ZFY",,7.8,ddPCR Supermix for Probes (no dUTP),,8.7,6.9,8.5,7.1,507,76421,5,502,620,75801,0.0137,76928,,,,,,,,0.81,0.91,0.71,0.91,0.72,44.8,47.7,41.9,47.7,41.9,1,1,,,,,"","(E05,F05,G05,H05)",8.23,7.31,8.12,7.43,,,,,0.859,0.76,0.859,0.762,46.2,43.3,46.2,43.3,
"M06",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY",,0,ddPCR Supermix for Probes (no dUTP),,0.096,0,0.096,0,0,36887,0,0,0,36887,0,36887,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(G06,H06)",0.044,0,0.044,0,,,,,,,0,0,,,0,0,
"M01",Absolute Quantification,"ABS","30139",Ch2Unknown,"HbA",,9.54,ddPCR Supermix for Probes (no dUTP),,9.99,9.1,9.91,9.17,2583,317182,17,2459,2566,314723,0,319765,,,,,,,,0.96,1.01,0.88,1.01,0.91,48.9,50.5,47.3,50.3,47.6,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02,H02)",9.77,9.31,9.73,9.35,,,,,0.985,0.913,0.985,0.931,49.8,48.1,49.6,48.2,
"M02",Absolute Quantification,"ABS","14992",Ch2Unknown,"HbA",,10.94,ddPCR Supermix for Probes (no dUTP),,11.35,10.53,11.35,10.53,2777,297218,34,3121,2743,294097,0.0192,299995,,,,,,,,1.14,1.19,1.06,1.19,1.08,53.2,54.5,51.9,54.5,51.9,1,1,,,,,"","(A03,A04,B03,B04,C03,C04,D03,E03,E04,F03,F04,G03,G04,H03,H04)",11.15,10.73,11.15,10.73,,,,,1.166,1.09,1.166,1.107,53.9,52.5,53.8,52.6,
"M03",Absolute Quantification,"ABS","14992",Ch2Unknown,"ZFX",,26.9,ddPCR Supermix for Probes (no dUTP),,28.9,25,28.1,25.7,1831,79204,2,75,1829,79129,0.00387,81035,,,,,,,,0.042,0.051,0.031,0.051,0.032,4,4.9,3,4.9,3.1,1,1,,,,,"","(A06,B06,C06,D06)",27.9,25.9,27.5,26.3,,,,,0.046,0.036,0.0464,0.0368,4.44,3.46,4.44,3.55,
"M04",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA",,0,ddPCR Supermix for Probes (no dUTP),,0.09,0,0.09,0,0,39279,0,0,0,39279,0,39279,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(C05,D05)",0.041,0,0.041,0,,,,,,,0,0,,,0,0,
