Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","12526",Ch1Unknown,"HbS",,7.61,ddPCR Supermix for Probes (no dUTP),,8.02,7.19,7.95,7.28,1993,306971,12,1981,1932,305039,0,308964,,,,,,,,1.03,1.09,0.94,1.09,0.96,50.6,52.2,49.1,52.2,49.1,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02,H02)",7.82,7.39,7.78,7.44,,,,,1.058,0.972,1.058,0.993,51.4,49.8,51.4,49.8,
"M02",Absolute Quantification,"ABS","9787",Ch1Unknown,"HbS",,5.45,ddPCR Supermix for Probes (no dUTP),,5.8,5.11,5.73,5.17,1465,315529,9,1456,1426,314103,0.00887,316994,,,,,,,,1.02,1.1,0.93,1.1,0.95,50.5,52.3,48.7,52.3,48.7,1,1,,,,,"","(A03,A04,B03,B04,C03,C04,D03,D04,E03,E04,F03,F04,G03,G04,H03,H04)",5.63,5.28,5.59,5.31,,,,,1.059,0.967,1.059,0.983,51.4,49.6,51.4,49.6,
"M03",Absolute Quantification,"ABS","20685",Ch1Unknown,"HbS",,3.18,ddPCR Supermix for Probes (no dUTP),,3.39,2.97,3.39,2.97,855,315848,2,853,844,315004,0,316703,,,,,,,,1.01,1.11,0.88,1.11,0.91,50.3,52.7,47.9,52.6,47.9,1,1,,,,,"","(A05,A06,B05,B06,C05,C06,D05,D06,E05,E06,F05,F06,G05,G06,H05,H06)",3.29,3.07,3.29,3.07,,,,,1.06,0.93,1.06,0.962,51.5,49.1,51.5,49.1,
"M04",Absolute Quantification,"ABS","20795",Ch1Unknown,"HbS",,8.06,ddPCR Supermix for Probes (no dUTP),,8.45,7.68,8.39,7.72,2210,321553,19,2191,2388,319165,0.00947,323763,,,,,,,,0.92,0.97,0.84,0.97,0.86,47.9,49.5,46.2,49.3,46.4,1,1,,,,,"","(A07,A08,B07,B08,C07,C08,D07,D08,E07,E08,F07,F08,G07,G08,H07,H08)",8.26,7.87,8.23,7.89,,,,,0.945,0.872,0.945,0.891,48.7,47,48.6,47.1,
"M05",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS",,24.6,ddPCR Supermix for Probes (no dUTP),,26.3,22.8,26.3,22.8,754,35755,13,741,757,34998,0,36509,,,,,,,,0.98,1.08,0.88,1.08,0.88,49.5,52,47,52,47,1,1,,,,,"","(A09,B09)",25.4,23.7,25.4,23.7,,,,,1.03,0.93,1.03,0.93,50.8,48.2,50.8,48.2,
"M06",Absolute Quantification,"ABS","9787",Ch1Unknown,"ZFY",,0.25,ddPCR Supermix for Probes (no dUTP),,0.39,0.12,0.39,0.15,17,79606,1,16,750,78856,0.0125,79623,,,,,,,,0.023,0.033,0.008,0.033,0.012,2.2,3.3,0.9,3.3,1.2,1,1,,,,,"","(A10,B10,C10,D10)",0.32,0.18,0.32,0.2,,,,,0.028,0.014,0.028,0.017,2.7,1.4,2.7,1.7,
"M07",Absolute Quantification,"ABS","20795",Ch1Unknown,"ZFY",,0.64,ddPCR Supermix for Probes (no dUTP),,0.95,0.33,0.86,0.47,41,74987,1,40,1381,73606,0.00391,75028,,,,,,,,0.029,0.04,0.014,0.039,0.02,2.9,3.8,1.4,3.7,2,1,1,,,,,"","(A11,B11,C11,D11)",0.8,0.49,0.75,0.55,,,,,0.034,0.02,0.034,0.0248,3.3,2,3.29,2.42,
"M08",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0,ddPCR Supermix for Probes (no dUTP),,0.088,0,0.088,0,0,40081,0,0,0,40081,0,40081,,,,,,,,0,,,0,0,0,,,0,0,1,1,,,,,"","(C09,D09)",0.04,0,0.04,0,,,,,,,0,0,,,0,0,
"M09",Absolute Quantification,"ABS","12526",Ch1Unknown,"ZFY",,0.53,ddPCR Supermix for Probes (no dUTP),,0.77,0.32,0.77,0.35,26,57273,0,26,974,56299,0,57299,,,,,,,,0.026,0.037,0.014,0.037,0.016,2.6,3.6,1.4,3.6,1.6,1,1,,,,,"","(E09,F09,G09)",0.65,0.43,0.65,0.44,,,,,0.032,0.019,0.032,0.021,3.1,1.9,3.08,2.08,
"M10",Absolute Quantification,"ABS","20685",Ch1Unknown,"ZFY",,0.41,ddPCR Supermix for Probes (no dUTP),,0.58,0.28,0.58,0.28,28,80342,2,26,534,79808,0.0267,80370,,,,,,,,0.052,0.072,0.031,0.072,0.032,4.9,6.7,3.1,6.7,3.2,1,1,,,,,"","(E10,F10,G10,H10)",0.49,0.34,0.49,0.34,,,,,0.062,0.041,0.062,0.042,5.9,4,5.9,4,
"M11",Absolute Quantification,"ABS","C12 male",Ch1Unknown,"ZFY",,17.3,ddPCR Supermix for Probes (no dUTP),,18.8,15.8,18.8,15.8,506,34209,6,500,515,33694,0,34715,,,,,,,,0.97,1.09,0.85,1.09,0.85,49.3,52.3,46.2,52.3,46.2,1,1,,,,,"","(E11,F11)",18,16.5,18,16.5,,,,,1.03,0.91,1.03,0.91,50.8,47.7,50.8,47.7,
"M12",Absolute Quantification,"ABS","NTC",Ch1Unknown,"ZFY",,0.02,ddPCR Supermix for Probes (no dUTP),,0.1,-0.02,0.1,0,1,55487,0,1,0,55487,0,55488,,,,,,,,1000000,,,1000000,0,100,,,250,0,1,1,,,,,"","(G11,H09,H11)",0.053,0,0.053,0.006,,,,,,,1000000,0,,,170,30,
"M01",Absolute Quantification,"ABS","12526",Ch2Unknown,"HbA",,7.43,ddPCR Supermix for Probes (no dUTP),,7.77,7.09,7.76,7.1,1944,307020,12,1981,1932,305039,0,308964,,,,,,,,1.03,1.09,0.94,1.09,0.96,50.6,52.2,49.1,52.2,49.1,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02,E02,F02,G02,H02)",7.6,7.26,7.59,7.26,,,,,1.058,0.972,1.058,0.993,51.4,49.8,51.4,49.8,
"M02",Absolute Quantification,"ABS","9787",Ch2Unknown,"HbA",,5.34,ddPCR Supermix for Probes (no dUTP),,5.61,5.06,5.61,5.06,1435,315559,9,1456,1426,314103,0.00887,316994,,,,,,,,1.02,1.1,0.93,1.1,0.95,50.5,52.3,48.7,52.3,48.7,1,1,,,,,"","(A03,A04,B03,B04,C03,C04,D03,D04,E03,E04,F03,F04,G03,G04,H03,H04)",5.48,5.2,5.48,5.2,,,,,1.059,0.967,1.059,0.983,51.4,49.6,51.4,49.6,
"M03",Absolute Quantification,"ABS","20685",Ch2Unknown,"HbA",,3.15,ddPCR Supermix for Probes (no dUTP),,3.36,2.93,3.36,2.93,846,315857,2,853,844,315004,0,316703,,,,,,,,1.01,1.11,0.88,1.11,0.91,50.3,52.7,47.9,52.6,47.9,1,1,,,,,"","(A05,A06,B05,B06,C05,C06,D05,D06,E05,E06,F05,F06,G05,G06,H05,H06)",3.26,3.04,3.26,3.04,,,,,1.06,0.93,1.06,0.962,51.5,49.1,51.5,49.1,
"M04",Absolute Quantification,"ABS","20795",Ch2Unknown,"HbA",,8.78,ddPCR Supermix for Probes (no dUTP),,9.13,8.43,9.13,8.43,2407,321356,19,2191,2388,319165,0.00947,323763,,,,,,,,0.92,0.97,0.84,0.97,0.86,47.9,49.5,46.2,49.3,46.4,1,1,,,,,"","(A07,A08,B07,B08,C07,C08,D07,D08,E07,E08,F07,F08,G07,G08,H07,H08)",8.96,8.6,8.96,8.6,,,,,0.945,0.872,0.945,0.891,48.7,47,48.6,47.1,
